DATE;PKB;CPI;UNEMPLOYMENT;WAGES
2014-01-31;29 275,30;100,100;14;3805,28
2014-02-28;48 719,90;100,100;13,9;3856,56
2014-03-31;66 974,90;100,100;13,5;4017,75
2014-04-30;95 696,50;100,000;13;3976,8
2014-05-31;115 241,70;99,900;12,5;3878,31
2014-06-30;136 321,40;100,000;12;3943,01
2014-07-31;162 534,20;99,800;11,8;3964,91
2014-08-31;184 520,30;99,600;11,7;3893,23
2014-09-30;209 190,50;100,000;11,5;3900,49
2014-10-31;235 803,60;100,000;11,3;3980,92
2014-11-30;260 292,50;99,800;11,4;4004,8
2014-12-31;285 083,10;99,700;11,4;4379,26
2015-01-31;28 115,70;99,800;11,9;3942,78
2015-02-28;47 158,80;99,900;11,9;3981,75
2015-03-31;67 825,30;100,200;11,5;4214,14
2015-04-30;96 077,70;100,400;11,1;4123,26
2015-05-31;116 283,40;100,000;10,7;4002,16
2015-06-30;137 023,00;100,000;10,2;4039,7
2015-07-31;163 479,40;99,900;10;4095,26
2015-08-31;187 237,50;99,600;9,9;4024,95
2015-09-30;210 045,70;99,700;9,7;4059,19
2015-10-31;238 911,10;100,100;9,6;4110,77
2015-11-30;263 764,20;99,900;9,6;4164,01
2015-12-31;289 136,70;99,800;9,7;4515,28
2016-01-31;30 724,50;99,500;10,2;4101,36
2016-02-29;56 164,70;99,900;10,2;4137,55
2016-03-31;76 818,00;100,100;9,9;4351,45
2016-04-30;105 385,10;100,300;9,4;4313,57
2016-05-31;129 127,80;100,100;9,1;4166,28
2016-06-30;151 610,80;100,200;8,7;4252,19
2016-07-31;188 565,40;99,700;8,5;4291,85
2016-08-31;214 529,00;99,800;8,4;4212,56
2016-09-30;238 606,50;100,000;8,3;4217,96
2016-10-31;268 628,70;100,500;8,2;4259,37
2016-11-30;294 487,30;100,100;8,2;4329,71
2016-12-31;314 683,60;100,700;8,2;4635,77
2017-01-31;36 957,40;100,400;8,5;4277,32
2017-02-28;60 942,50;100,300;8,4;4304,95
2017-03-31;85 246,50;99,900;8;4577,86
2017-04-30;116 896,90;100,300;7,6;4489,07
2017-05-31;143 331,40;100,000;7,3;4390,99
2017-06-30;176 701,70;99,800;7;4508,08
2017-07-31;206 105,80;99,800;7;4501,52
2017-08-31;235 026,40;99,900;7;4492,63
2017-09-30;262 262,60;100,400;6,8;4473,06
2017-10-31;295 020,90;100,500;6,6;4574,35
2017-11-30;323 263,20;100,500;6,5;4610,79
2017-12-31;350 499,10;100,200;6,6;4973,73
